ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	GlobalOutlier	GlobalOutlierReason	OutlierFrequency	OutlierAOIs	Gene	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
	RNA24305	C1QTNF7	C1QTNF7				FALSE				C1QTNF7	46	8	5	1	19	3	0	2	1
	RNA24306	NEDD1	NEDD1				FALSE				NEDD1	48	21	2	1	22	8	0	4	4
	RNA24307	ZDHHC3	ZDHHC3				FALSE				ZDHHC3	42	20	6	2	23	5	0	3	4
	RNA24308	ASAP2	ASAP2				FALSE				ASAP2	58	24	8	1	27	8	1	2	4
	RNA24309	C10orf71	C10orf71				FALSE				C10orf71	24	7	2	1	9	10	0	2	10
	RNA24310	CCDC36	CCDC36				FALSE				CCDC36	51	13	5	4	16	4	1	3	10
	RNA24311	FKBP6	FKBP6				FALSE				FKBP6	51	14	9	1	21	4	0	1	12
	RNA24312	ZSCAN31	ZSCAN31				FALSE				ZSCAN31	27	10	4	1	18	7	0	1	12
	RNA24313	TAF12	TAF12				FALSE				TAF12	47	10	5	1	20	10	0	1	11
	RNA24314	PIP5KL1	PIP5KL1				FALSE				PIP5KL1	37	11	4	0	19	8	3	3	7
	RNA24315	C1orf226	C1orf226				FALSE				C1orf226	78	23	7	6	25	6	1	1	6
	RNA24316	NDRG1	NDRG1				FALSE				NDRG1	60	18	5	4	113	24	1	20	3
	RNA24317	PAX7	PAX7				FALSE				PAX7	69	21	5	3	21	9	1	2	6
	RNA24318	MKNK1	MKNK1				FALSE				MKNK1	60	16	10	3	30	4	0	4	2
	RNA24319	DYNC1I1	DYNC1I1				FALSE				DYNC1I1	55	20	12	2	23	12	2	4	4
	RNA24320	HSF2	HSF2				FALSE				HSF2	71	20	6	3	31	6	1	2	21
	RNA24321	C12orf73	C12orf73				FALSE				C12orf73	51	26	5	0	13	0	0	0	11
	RNA24322	SMIM13	SMIM13				FALSE				SMIM13	56	24	2	3	38	12	1	3	7
	RNA24323	C19orf71	C19orf71				FALSE				C19orf71	30	16	3	0	24	6	0	3	7
	RNA24324	C5orf24	C5orf24				FALSE				C5orf24	77	22	11	0	26	17	2	6	17
	RNA24325	GDAP2	GDAP2				FALSE				GDAP2	41	8	6	2	17	8	0	1	8
	RNA24326	CLHC1	CLHC1				FALSE				CLHC1	45	22	3	5	20	1	2	1	1
	RNA24327	ARHGAP26	ARHGAP26				FALSE				ARHGAP26	93	27	17	6	35	7	1	2	13
	RNA24328	C11orf68	C11orf68				FALSE				C11orf68	61	16	7	3	27	9	0	3	2
	RNA24329	PIP5K1A	PIP5K1A				FALSE				PIP5K1A	75	21	2	3	17	7	0	1	7
	RNA24330	INPP5K	INPP5K				FALSE				INPP5K	65	23	8	3	30	10	1	2	5
	RNA24331	PTPRK	PTPRK				FALSE				PTPRK	59	15	6	0	60	11	4	4	9
	RNA24332	FOXI3	FOXI3				FALSE				FOXI3	45	11	5	0	23	4	1	4	5
	RNA24333	EIF2AK2	EIF2AK2				FALSE				EIF2AK2	76	31	9	3	43	9	0	6	5
	RNA24334	PABPC4	PABPC4				FALSE				PABPC4	96	29	11	1	44	18	2	3	15
	RNA24335	NRXN1	NRXN1				FALSE				NRXN1	113	29	14	7	35	8	0	2	4
	RNA24336	RAB29	RAB29				FALSE				RAB29	54	19	7	2	20	9	2	1	9
	RNA24337	MSRA	MSRA				FALSE				MSRA	93	42	11	3	39	10	0	6	14
	RNA24338	ATL2	ATL2				FALSE				ATL2	59	23	6	0	18	8	1	6	7
	RNA24339	SMIM19	SMIM19				FALSE				SMIM19	77	26	13	3	25	8	0	5	7
	RNA24340	TARM1	TARM1				FALSE				TARM1	57	17	3	3	23	4	0	2	7
	RNA24341	ZMAT4	ZMAT4				FALSE				ZMAT4	47	16	7	1	19	2	0	4	5
	RNA24342	DERL3	DERL3				FALSE				DERL3	69	20	9	1	13	4	1	0	8
	RNA24343	ECD	ECD				FALSE				ECD	73	17	9	0	28	11	3	6	7
	RNA24344	RPN2	RPN2				FALSE				RPN2	119	34	11	4	68	23	1	8	23
	RNA24345	LRP5L	LRP5L				FALSE				LRP5L	54	14	6	5	15	8	0	2	9
	RNA24346	SPATA2	SPATA2				FALSE				SPATA2	53	13	6	2	11	10	0	3	6
	RNA24347	SYN3	SYN3				FALSE				SYN3	56	17	9	3	23	11	1	2	9
	RNA24348	ZBTB43	ZBTB43				FALSE				ZBTB43	48	15	7	0	28	4	0	3	9
	RNA24349	FDPS	FDPS				FALSE				FDPS	137	37	14	6	42	13	2	4	12
	RNA24350	LOC112268469,RNF185	LOC112268469,RNF185				FALSE				LOC112268469,RNF185	56	22	12	4	31	8	2	4	5
	RNA24351	PHPT1	PHPT1				FALSE				PHPT1	79	23	9	2	20	7	0	1	8
	RNA24352	PHF21B	PHF21B				FALSE				PHF21B	58	16	5	4	21	5	1	4	11
	RNA24353	ETFBKMT	ETFBKMT				FALSE				ETFBKMT	36	12	2	0	25	6	1	3	7
	RNA24354	PIK3IP1	PIK3IP1				FALSE				PIK3IP1	68	23	9	1	44	19	0	1	9
	RNA24355	KCP	KCP				FALSE				KCP	46	21	3	3	13	8	0	3	5
	RNA24356	VWDE	VWDE				FALSE				VWDE	54	19	3	3	17	8	1	2	8
	RNA24357	POSTN	POSTN				FALSE				POSTN	151	57	11	5	17	7	1	4	20
	RNA24358	MYOT	MYOT				FALSE				MYOT	66	18	8	2	28	7	2	1	7
	RNA24359	GKAP1	GKAP1				FALSE				GKAP1	58	17	5	2	29	4	1	0	13
	RNA24360	TRPC4	TRPC4				FALSE				TRPC4	50	10	3	1	15	5	2	0	3
	RNA24361	TTC39C	TTC39C				FALSE				TTC39C	56	23	7	2	37	9	0	2	7
	RNA24362	ATXN3L	ATXN3L				FALSE				ATXN3L	50	9	6	3	17	7	0	5	7
	RNA24363	NDUFB11	NDUFB11				FALSE				NDUFB11	55	25	10	3	27	9	0	0	7
	RNA24364	AGER	AGER				FALSE				AGER	55	14	8	3	19	7	0	2	8
	RNA24365	ABL2	ABL2				FALSE				ABL2	59	14	14	4	32	10	0	4	10
	RNA24366	TMEM229A	TMEM229A				FALSE				TMEM229A	43	12	3	2	20	6	0	2	13
	RNA24367	C2CD4D	C2CD4D				FALSE				C2CD4D	44	21	6	2	21	6	0	1	7
	RNA24368	FXYD3	FXYD3				FALSE				FXYD3	39	17	6	4	16	5	0	3	9
	RNA24369	NFATC4	NFATC4				FALSE				NFATC4	55	16	3	1	25	13	0	8	6
	RNA24370	NFE2	NFE2				FALSE				NFE2	44	18	12	5	22	4	0	6	10
	RNA24371	NHS	NHS				FALSE				NHS	34	9	7	2	18	6	0	5	3
	RNA24372	SEC13	SEC13				FALSE				SEC13	41	14	6	3	14	6	0	5	8
	RNA24373	DEPDC5	DEPDC5				FALSE				DEPDC5	60	16	3	2	24	6	0	1	7
	RNA24374	ATG7	ATG7				FALSE				ATG7	62	15	4	0	24	14	1	3	7
	RNA24375	PUF60	PUF60				FALSE				PUF60	183	69	26	2	76	14	2	11	26
	RNA24376	TRMT1	TRMT1				FALSE				TRMT1	55	28	8	1	31	9	0	3	7
	RNA24377	ZNF692	ZNF692				FALSE				ZNF692	55	21	8	2	24	9	0	4	3
	RNA24378	LIMS2	LIMS2				FALSE				LIMS2	47	16	3	1	25	7	0	1	16
	RNA24379	ZNF415	ZNF415				FALSE				ZNF415	61	22	8	3	23	5	1	1	9
	RNA24380	TMUB1	TMUB1				FALSE				TMUB1	53	18	4	6	23	6	1	5	9
	RNA24381	DHRS1	DHRS1				FALSE				DHRS1	41	18	3	1	20	6	0	0	4
	RNA24382	LRIG3	LRIG3				FALSE				LRIG3	48	12	9	4	11	5	0	6	4
	RNA24383	TMEM132C	TMEM132C				FALSE				TMEM132C	105	24	11	2	33	7	0	5	11
	RNA24384	COLCA2	COLCA2				FALSE				COLCA2	57	17	6	1	24	7	0	6	9
	RNA24385	BEAN1	BEAN1				FALSE				BEAN1	61	23	5	4	23	9	1	1	10
	RNA24386	METTL11B	METTL11B				FALSE				METTL11B	44	14	4	1	21	3	0	4	11
	RNA24387	R3HCC1	R3HCC1				FALSE				R3HCC1	66	18	8	3	34	14	1	2	8
	RNA24388	FBXO28	FBXO28				FALSE				FBXO28	48	19	10	3	24	8	1	4	5
	RNA24389	ZNF879	ZNF879				FALSE				ZNF879	87	22	11	2	43	21	2	5	4
	RNA24390	SLF2	SLF2				FALSE				SLF2	61	23	10	2	40	9	5	1	9
	RNA24391	ALG1L2	ALG1L2				FALSE				ALG1L2	93	22	18	6	26	7	2	3	6
	RNA24392	OTUD5	OTUD5				FALSE				OTUD5	55	18	8	0	36	5	1	3	10
	RNA24393	HSBP1L1	HSBP1L1				FALSE				HSBP1L1	33	5	1	1	15	7	2	2	6
	RNA24394	LAX1	LAX1				FALSE				LAX1	49	10	9	0	22	4	2	0	16
	RNA24395	FZR1	FZR1				FALSE				FZR1	70	24	12	1	31	8	2	2	4
	RNA24396	GRAMD1A	GRAMD1A				FALSE				GRAMD1A	115	25	5	3	39	9	1	4	10
	RNA24397	BORCS7	BORCS7				FALSE				BORCS7	47	19	9	1	29	9	0	2	11
	RNA24398	KCTD1	KCTD1				FALSE				KCTD1	57	13	5	2	20	2	0	0	6
	RNA24399	RCOR3	RCOR3				FALSE				RCOR3	54	17	7	3	30	8	0	5	5
	RNA24400	HSD17B13	HSD17B13				FALSE				HSD17B13	36	10	6	0	23	5	1	1	4
	RNA24401	SUPT20HL1	SUPT20HL1				FALSE				SUPT20HL1	36	12	7	2	19	2	0	2	11
	RNA24402	PRDM6	PRDM6				FALSE				PRDM6	34	18	5	1	13	4	0	1	4
	RNA24403	SGMS2	SGMS2				FALSE				SGMS2	49	13	4	2	25	5	2	1	7
	RNA24404	ATXN7L3B	ATXN7L3B				FALSE				ATXN7L3B	77	15	10	4	34	10	0	1	9
	RNA24405	C2CD4C	C2CD4C				FALSE				C2CD4C	60	20	3	1	26	3	0	1	3
	RNA24406	IFFO2	IFFO2				FALSE				IFFO2	58	19	11	2	29	10	1	3	6
	RNA24407	DAZAP2	DAZAP2				FALSE				DAZAP2	138	42	10	3	74	34	5	9	12
	RNA24408	NKX2-6	NKX2-6				FALSE				NKX2-6	39	13	7	3	13	5	2	3	8
	RNA24409	ZFP92	ZFP92				FALSE				ZFP92	32	12	0	2	18	2	1	2	12
	RNA24410	AKIRIN1	AKIRIN1				FALSE				AKIRIN1	86	28	7	7	53	15	0	6	4
	RNA24411	TMEM108	TMEM108				FALSE				TMEM108	46	16	2	5	24	6	2	1	8
	RNA24412	ANP32E	ANP32E				FALSE				ANP32E	88	17	9	3	27	2	0	1	10
	RNA24413	C19orf38	C19orf38				FALSE				C19orf38	48	22	7	0	8	10	1	1	14
	RNA24414	CFAP97D1	CFAP97D1				FALSE				CFAP97D1	47	21	8	1	18	4	0	3	4
	RNA24415	C11orf86	C11orf86				FALSE				C11orf86	25	14	3	2	12	4	0	1	7
	RNA24416	C1orf198	C1orf198				FALSE				C1orf198	76	19	10	0	59	19	0	5	11
	RNA24417	BTF3L4	BTF3L4				FALSE				BTF3L4	62	26	8	3	33	9	0	2	6
	RNA24418	CISD3	CISD3				FALSE				CISD3	61	15	6	4	34	6	2	2	8
	RNA24419	ZNF841	ZNF841				FALSE				ZNF841	84	33	13	4	31	7	1	6	11
	RNA24420	ZNF844	ZNF844				FALSE				ZNF844	52	10	4	1	21	9	1	2	8
	RNA24421	SMIM24	SMIM24				FALSE				SMIM24	38	14	5	2	17	5	0	1	3
	RNA24422	SYT2	SYT2				FALSE				SYT2	94	35	13	4	25	12	0	6	5
	RNA24423	TERB1	TERB1				FALSE				TERB1	26	8	4	0	13	8	0	1	9
	RNA24424	SLC22A24	SLC22A24				FALSE				SLC22A24	39	15	3	1	16	7	0	2	14
	RNA24425	C1orf185	C1orf185				FALSE				C1orf185	50	15	5	0	21	4	1	0	9
	RNA24426	ZNF843	ZNF843				FALSE				ZNF843	25	8	3	0	15	4	0	0	5
	RNA24427	DCAF8L2	DCAF8L2				FALSE				DCAF8L2	96	27	10	2	44	19	1	3	11
	RNA24428	TMEM233	TMEM233				FALSE				TMEM233	34	9	5	4	25	7	0	3	10
	RNA24429	BTBD19	BTBD19				FALSE				BTBD19	69	17	9	3	30	8	1	3	16
	RNA24430	ACAD10	ACAD10				FALSE				ACAD10	79	21	10	1	38	4	1	1	6
	RNA24431	LYSMD1	LYSMD1				FALSE				LYSMD1	63	32	8	4	21	3	0	3	10
	RNA24432	TLK1	TLK1				FALSE				TLK1	67	29	6	3	24	7	1	5	7
	RNA24433	RAD21L1	RAD21L1				FALSE				RAD21L1	44	11	2	1	18	3	0	3	13
	RNA24434	FAM47E	FAM47E				FALSE				FAM47E	50	9	2	1	20	7	2	2	14
	RNA24435	ZAR1L	ZAR1L				FALSE				ZAR1L	47	14	6	0	16	1	2	2	9
	RNA24436	LRRFIP1	LRRFIP1				FALSE				LRRFIP1	74	30	7	4	31	14	3	4	12
	RNA24437	TMEM151B	TMEM151B				FALSE				TMEM151B	62	20	6	2	29	8	0	2	12
	RNA24438	ZBTB42	ZBTB42				FALSE				ZBTB42	53	22	5	2	13	4	1	2	8
	RNA24439	PARVG	PARVG				FALSE				PARVG	49	21	11	1	33	14	0	1	5
	RNA24440	RGSL1	RGSL1				FALSE				RGSL1	46	13	6	1	14	6	1	1	7
	RNA24441	ILF3	ILF3				FALSE				ILF3	123	40	15	4	62	21	3	5	9
	RNA24442	ZNF860	ZNF860				FALSE				ZNF860	31	13	5	2	17	10	1	1	5
	RNA24443	ATXN1L	ATXN1L				FALSE				ATXN1L	84	24	7	2	34	10	3	7	17
	RNA24444	AGRP	AGRP				FALSE				AGRP	33	12	9	4	22	7	1	3	11
	RNA24445	LOC107985075,ALOX12B	LOC107985075,ALOX12B				FALSE				LOC107985075,ALOX12B	48	19	10	1	20	6	1	1	14
	RNA24446	TTLL11	TTLL11				FALSE				TTLL11	44	16	9	0	29	7	2	3	11
	RNA24447	TRAPPC3L	TRAPPC3L				FALSE				TRAPPC3L	25	17	5	2	17	7	0	1	13
	RNA24448	SVOPL	SVOPL				FALSE				SVOPL	71	26	14	4	24	7	0	1	7
	RNA24449	BCAP31	BCAP31				FALSE				BCAP31	69	19	14	6	61	20	2	14	7
	RNA24450	CNST	CNST				FALSE				CNST	56	18	9	2	31	7	1	0	11
	RNA24451	DACH2	DACH2				FALSE				DACH2	26	9	1	1	21	4	0	1	8
	RNA24452	ALOX15	ALOX15				FALSE				ALOX15	78	25	3	3	20	3	4	2	3
	RNA24453	ALOX15B	ALOX15B				FALSE				ALOX15B	51	15	10	1	24	5	2	4	8
	RNA24454	FAM205A	FAM205A				FALSE				FAM205A	65	24	9	4	22	1	1	4	4
	RNA24455	C4orf48	C4orf48				FALSE				C4orf48	54	18	10	3	57	20	3	5	6
	RNA24456	ATP13A2	ATP13A2				FALSE				ATP13A2	77	18	9	5	29	8	1	4	7
	RNA24457	TP53BP1	TP53BP1				FALSE				TP53BP1	132	60	22	5	35	9	1	4	5
	RNA24458	AMELX	AMELX				FALSE				AMELX	33	13	6	0	18	7	0	5	28
	RNA24459	RAB11FIP3	RAB11FIP3				FALSE				RAB11FIP3	58	17	4	0	22	4	1	8	11
	RNA24460	NIPA1	NIPA1				FALSE				NIPA1	51	24	10	1	48	12	0	5	9
	RNA24461	RNASEH2B	RNASEH2B				FALSE				RNASEH2B	46	7	3	0	19	4	0	1	7
	RNA24462	SEMA4D	SEMA4D				FALSE				SEMA4D	49	11	6	1	66	25	1	6	11
	RNA24463	EMC8	EMC8				FALSE				EMC8	50	13	3	2	16	8	5	2	7
	RNA24464	NUDT16L1,MGRN1	NUDT16L1,MGRN1				FALSE				NUDT16L1,MGRN1	58	22	7	0	46	14	2	6	13
	RNA24465	LMAN2L	LMAN2L				FALSE				LMAN2L	51	26	5	0	23	3	0	3	90
	RNA24466	ARFGAP3	ARFGAP3				FALSE				ARFGAP3	101	19	13	3	24	7	0	1	9
	RNA24467	SPART	SPART				FALSE				SPART	33	23	13	0	41	21	3	5	6
	RNA24468	TMEM67	TMEM67				FALSE				TMEM67	62	24	6	2	27	9	1	2	8
	RNA24469	TMEM169	TMEM169				FALSE				TMEM169	58	11	3	1	15	9	0	3	8
	RNA24470	DMTF1	DMTF1				FALSE				DMTF1	67	24	7	2	25	12	3	7	10
	RNA24471	THOC6	THOC6				FALSE				THOC6	54	9	5	0	29	5	0	2	9
	RNA24472	ST6GAL2	ST6GAL2				FALSE				ST6GAL2	55	16	3	1	33	12	0	3	6
	RNA24473	PNPLA4	PNPLA4				FALSE				PNPLA4	53	18	7	3	24	5	2	4	25
	RNA24474	SLC10A3	SLC10A3				FALSE				SLC10A3	96	19	5	4	30	12	0	4	4
	RNA24475	NEDD9	NEDD9				FALSE				NEDD9	65	11	6	6	19	8	0	2	8
	RNA24476	CTIF	CTIF				FALSE				CTIF	66	15	9	0	28	15	1	3	11
	RNA24477	PRELID3A	PRELID3A				FALSE				PRELID3A	42	12	2	2	28	14	0	2	15
	RNA24478	MORF4L2	MORF4L2				FALSE				MORF4L2	74	16	11	3	48	14	3	5	16
	RNA24479	EDC3	EDC3				FALSE				EDC3	97	30	7	6	34	12	1	2	14
	RNA24480	ECSIT	ECSIT				FALSE				ECSIT	53	26	8	5	18	6	0	0	6
	RNA24481	HES4	HES4				FALSE				HES4	51	15	4	0	25	11	3	4	9
	RNA24482	BMERB1	BMERB1				FALSE				BMERB1	250	87	31	13	59	17	1	5	15
	RNA24483	MTRES1,C6orf203	MTRES1,C6orf203				FALSE				MTRES1,C6orf203	67	12	5	5	21	5	2	2	7
	RNA24484	INTS12	INTS12				FALSE				INTS12	31	4	6	0	22	5	1	0	9
	RNA24485	NREP	NREP				FALSE				NREP	87	39	20	5	34	9	0	3	8
	RNA24486	MLKL	MLKL				FALSE				MLKL	41	12	5	1	18	3	0	1	174
	RNA24487	FLYWCH2	FLYWCH2				FALSE				FLYWCH2	78	26	4	4	27	7	1	3	5
	RNA24488	MON1A	MON1A				FALSE				MON1A	63	15	6	2	16	6	1	2	4
	RNA24489	ABCG4	ABCG4				FALSE				ABCG4	21	13	5	1	21	3	1	0	4
	RNA24490	LGALS12	LGALS12				FALSE				LGALS12	58	16	3	0	33	9	0	0	5
	RNA24491	SLC35B3	SLC35B3				FALSE				SLC35B3	66	20	6	0	34	10	2	1	9
	RNA24492	WDR47	WDR47				FALSE				WDR47	59	18	8	7	29	9	1	1	7
	RNA24493	DCHS2	DCHS2				FALSE				DCHS2	35	11	6	2	16	7	0	1	8
	RNA24494	CPSF7	CPSF7				FALSE				CPSF7	106	36	10	5	38	16	2	8	13
	RNA24495	BBX	BBX				FALSE				BBX	68	17	10	3	38	14	0	6	4
	RNA24496	ZNF780A	ZNF780A				FALSE				ZNF780A	53	14	4	2	18	4	0	4	7
	RNA24497	NFYC	NFYC				FALSE				NFYC	80	23	10	2	30	10	3	5	4
	RNA24498	ITPK1	ITPK1				FALSE				ITPK1	100	19	9	5	69	18	6	12	13
	RNA24499	EFTUD2	EFTUD2				FALSE				EFTUD2	86	13	12	2	34	6	0	8	7
	RNA24500	TGFBRAP1	TGFBRAP1				FALSE				TGFBRAP1	69	15	9	7	34	7	0	3	10
	RNA24501	PIK3R5	PIK3R5				FALSE				PIK3R5	48	16	5	4	26	5	0	3	6
	RNA24502	TNRC6C	TNRC6C				FALSE				TNRC6C	63	20	12	3	26	10	0	3	10
	RNA24503	FBRSL1	FBRSL1				FALSE				FBRSL1	49	22	5	1	32	5	2	3	8
	RNA24504	SPHKAP	SPHKAP				FALSE				SPHKAP	40	4	3	3	17	4	2	1	11
	RNA24505	NEMP2	NEMP2				FALSE				NEMP2	56	21	6	1	22	3	3	4	6
	RNA24506	HNRNPLL	HNRNPLL				FALSE				HNRNPLL	91	27	11	2	34	11	1	4	18
	RNA24507	NEURL1B	NEURL1B				FALSE				NEURL1B	68	18	9	2	22	8	1	0	10
	RNA24508	PTGES3L	PTGES3L				FALSE				PTGES3L	57	21	4	1	23	5	1	0	12
	RNA24509	ATG13	ATG13				FALSE				ATG13	87	34	11	3	56	13	1	7	9
	RNA24510	CHID1	CHID1				FALSE				CHID1	70	26	3	1	38	7	0	6	4
	RNA24511	ARHGAP32	ARHGAP32				FALSE				ARHGAP32	35	14	5	1	20	7	0	2	9
	RNA24513	FAM111B	FAM111B				FALSE				FAM111B	48	17	5	0	24	5	1	4	7
	RNA24514	ERI2	ERI2				FALSE				ERI2	30	15	9	0	18	5	0	5	6
	RNA24515	ASB14	ASB14				FALSE				ASB14	36	5	9	0	17	6	1	1	9
	RNA24516	PCDH15	PCDH15				FALSE				PCDH15	34	9	5	3	22	6	0	2	7
	RNA24517	HSD3B7	HSD3B7				FALSE				HSD3B7	82	19	5	1	31	14	2	4	7
	RNA24518	C17orf49	C17orf49				FALSE				C17orf49	54	20	6	1	35	9	0	4	5
	RNA24519	SLC6A8	SLC6A8				FALSE				SLC6A8	128	28	9	2	86	21	2	10	7
	RNA24520	SPATC1L	SPATC1L				FALSE				SPATC1L	38	12	8	3	15	8	0	3	8
	RNA24521	PIEZO1	PIEZO1				FALSE				PIEZO1	68	24	9	1	30	9	1	5	8
	RNA24522	TMOD2	TMOD2				FALSE				TMOD2	74	27	8	2	21	7	5	6	15
	RNA24523	EPHX3	EPHX3				FALSE				EPHX3	41	15	11	1	15	2	0	2	14
	RNA24524	API5	API5				FALSE				API5	109	45	4	3	43	23	0	7	10
	RNA24525	FBXO15	FBXO15				FALSE				FBXO15	50	17	1	2	31	3	0	3	5
	RNA24526	GREB1L	GREB1L				FALSE				GREB1L	23	13	2	2	13	1	2	3	13
	RNA24527	AMELY	AMELY				FALSE				AMELY	29	5	1	1	17	4	0	0	4
	RNA24528	AMIGO2	AMIGO2				FALSE				AMIGO2	59	18	2	1	23	7	1	1	10
	RNA24529	MPC2	MPC2				FALSE				MPC2	95	28	12	2	25	13	0	2	13
	RNA24530	CES5A	CES5A				FALSE				CES5A	44	15	5	2	21	5	1	0	8
	RNA24531	DCST1	DCST1				FALSE				DCST1	47	14	6	3	30	4	0	3	9
	RNA24532	DIS3L	DIS3L				FALSE				DIS3L	71	30	8	3	34	7	2	0	6
	RNA24533	SYCE1	SYCE1				FALSE				SYCE1	56	19	3	1	21	8	1	3	44
	RNA24534	FAM13C	FAM13C				FALSE				FAM13C	73	21	5	1	46	16	1	5	11
	RNA24535	CTDNEP1	CTDNEP1				FALSE				CTDNEP1	104	32	13	4	46	13	2	8	9
	RNA24536	SLC25A39	SLC25A39				FALSE				SLC25A39	108	29	15	1	37	10	0	5	18
	RNA24537	PHOSPHO1	PHOSPHO1				FALSE				PHOSPHO1	128	34	12	4	49	20	1	9	11
	RNA24538	TPCN1	TPCN1				FALSE				TPCN1	67	20	5	1	48	17	5	2	12
	RNA24539	ZBTB14	ZBTB14				FALSE				ZBTB14	36	15	9	2	18	10	2	5	6
	RNA24540	SLC38A4	SLC38A4				FALSE				SLC38A4	50	11	8	1	19	5	1	3	12
	RNA24541	MAPRE2	MAPRE2				FALSE				MAPRE2	70	16	4	3	41	16	1	5	8
	RNA24542	HRH4	HRH4				FALSE				HRH4	51	18	4	0	26	2	0	2	4
	RNA24543	CCDC68	CCDC68				FALSE				CCDC68	50	14	2	3	19	6	1	2	7
	RNA24544	GAS2	GAS2				FALSE				GAS2	40	10	3	0	25	9	1	0	6
	RNA24545	LEUTX	LEUTX				FALSE				LEUTX	48	14	7	0	12	5	1	1	15
	RNA24546	IQCF6	IQCF6				FALSE				IQCF6	44	14	4	3	13	2	0	0	7
	RNA24547	NOX4	NOX4				FALSE				NOX4	44	11	7	1	18	2	0	4	3
	RNA24548	PDE2A	PDE2A				FALSE				PDE2A	59	14	5	2	18	10	1	5	11
	RNA24549	TCTN2	TCTN2				FALSE				TCTN2	86	29	6	4	23	6	1	3	15
	RNA24550	TCHP	TCHP				FALSE				TCHP	75	16	4	1	31	7	1	5	9
	RNA24551	RPH3A	RPH3A				FALSE				RPH3A	73	26	9	1	16	2	2	0	6
	RNA24552	PPIAL4G,PPIAL4C,PPIAL4A,PPIAL4E,PPIAL4H,PPIAL4F	PPIAL4G,PPIAL4C,PPIAL4A,PPIAL4E,PPIAL4H,PPIAL4F				FALSE				PPIAL4G,PPIAL4C,PPIAL4A,PPIAL4E,PPIAL4H,PPIAL4F	339	108	53	15	102	23	2	8	20
	RNA24553	BSDC1	BSDC1				FALSE				BSDC1	57	21	9	1	46	13	1	5	4
	RNA24554	TRAFD1	TRAFD1				FALSE				TRAFD1	64	27	5	3	37	13	1	1	10
	RNA24555	C15orf61	C15orf61				FALSE				C15orf61	39	14	3	0	17	3	1	3	10
	RNA24556	LGSN	LGSN				FALSE				LGSN	38	13	2	2	23	7	0	1	11
	RNA24557	TMEM30A	TMEM30A				FALSE				TMEM30A	306	103	38	8	163	69	7	21	61
	RNA24558	C2orf74	C2orf74				FALSE				C2orf74	63	14	8	0	22	4	0	3	7
	RNA24559	CAPN8	CAPN8				FALSE				CAPN8	54	14	2	3	27	4	1	2	8
	RNA24560	TBC1D7-LOC100130357,TBC1D7	TBC1D7-LOC100130357,TBC1D7				FALSE				TBC1D7-LOC100130357,TBC1D7	73	16	10	2	30	6	0	6	13
	RNA24561	ARL5C	ARL5C				FALSE				ARL5C	23	10	4	1	15	5	0	2	5
	RNA24562	CDYL	CDYL				FALSE				CDYL	46	20	4	2	26	5	2	2	4
	RNA24563	UBTFL1	UBTFL1				FALSE				UBTFL1	77	25	10	5	14	7	1	2	5
	RNA24564	ZCCHC18	ZCCHC18				FALSE				ZCCHC18	43	17	3	1	22	7	0	4	6
	RNA24565	NDE1	NDE1				FALSE				NDE1	58	22	12	2	55	11	1	9	23
	RNA24566	CCDC154	CCDC154				FALSE				CCDC154	42	10	4	1	14	5	1	0	12
	RNA24567	CHRDL1	CHRDL1				FALSE				CHRDL1	68	13	3	2	19	5	1	4	5
	RNA24568	BANF1	BANF1				FALSE				BANF1	112	34	9	1	43	17	2	6	9
	RNA24569	TLE6	TLE6				FALSE				TLE6	73	21	13	2	24	4	3	0	8
	RNA24570	NBPF4,NBPF6	NBPF4,NBPF6				FALSE				NBPF4,NBPF6	72	22	6	2	25	12	2	5	7
	RNA24571	WRAP53	WRAP53				FALSE				WRAP53	62	13	13	4	16	5	0	1	7
	RNA24572	AMFR	AMFR				FALSE				AMFR	59	19	5	2	49	16	1	5	8
	RNA24573	SLITRK2	SLITRK2				FALSE				SLITRK2	45	15	5	1	37	10	1	3	12
	RNA24574	TMX2	TMX2				FALSE				TMX2	120	34	21	5	46	11	1	6	7
	RNA24575	NDOR1	NDOR1				FALSE				NDOR1	44	7	4	0	20	2	0	1	2
	RNA24576	STOML3	STOML3				FALSE				STOML3	36	9	5	1	27	4	0	2	10
	RNA24577	NHSL1	NHSL1				FALSE				NHSL1	81	20	6	1	30	6	1	1	7
	RNA24578	COPB1	COPB1				FALSE				COPB1	55	16	12	1	35	4	2	4	12
	RNA24579	ABCC3	ABCC3				FALSE				ABCC3	114	50	15	6	35	6	0	3	8
	RNA24580	LDHAL6A	LDHAL6A				FALSE				LDHAL6A	78	28	8	2	35	9	0	2	7
	RNA24581	DET1	DET1				FALSE				DET1	49	16	8	0	22	8	0	0	5
	RNA24582	ARHGAP11A-SCG5,SCG5	ARHGAP11A-SCG5,SCG5				FALSE				ARHGAP11A-SCG5,SCG5	53	16	3	2	40	6	0	3	9
	RNA24583	PHLDB1	PHLDB1				FALSE				PHLDB1	160	53	23	6	148	46	1	9	6
